,0
AIRLN_19790,0.5987026089021998
AIRLN_19805,0.5917553721597583
AIRLN_19977,0.5845580609553984
AIRLN_20304,0.6733779456942394
AIRLN_20366,3.2013412834420784e-17
AIRLN_20398,0.8560875614648845
AIRLN_20409,0.5678522237029576
AIRLN_20416,0.8049275292054536
AIRLN_20436,0.8706161551350535
AIRLN_21171,0.5313558457818804
Afternoon,-0.4321056658502711
DST_DFW,0.039869412246540795
DST_JFK,0.20835018652169524
DST_LAX,0.16196343239981575
DST_ORD,0.17653512512318278
Morning,-0.5280130697025412
Night,-0.31014129281667335
ORG_DFW,0.12630226172894815
ORG_JFK,0.10531784252824802
ORG_LAX,0.10218244580475336
ORG_ORD,0.16731589135212727
